epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.0,0.14193292241543531,0.001,0.0,0.17335453629493713
1,0.0,0.11938377376645803,0.001,0.0,0.16200512647628784
2,0.0,0.10211623413488269,0.001,0.0,0.15200869739055634
3,0.0,0.08931678719818592,0.001,0.0,0.14201365411281586
4,0.0,0.08099316013976932,0.001,0.0,0.13970355689525604
5,0.0,0.07512626377865672,0.001,0.0,0.12595784664154053
6,0.0,0.0695000640116632,0.001,0.0,0.07368052005767822
7,0.0,0.0640273152384907,0.001,0.0,0.08326698839664459
8,0.0,0.05936896079219878,0.001,0.0,0.10184330493211746
9,0.0,0.0555447565857321,0.001,0.0,0.10992789268493652
10,0.0,0.05071824346669018,0.001,0.0,0.07443924248218536
11,0.0,0.04715136834420264,0.001,0.0,0.3959273397922516
12,0.0,0.044420875143259764,0.000100000005,0.0,0.32343706488609314
13,0.0,0.04415392363443971,0.000100000005,0.0,0.2827455699443817
14,0.0,0.04392172023653984,0.000100000005,0.0,0.2924961745738983
15,0.0,0.043306160951033235,0.000100000005,0.0,0.21581897139549255
16,0.0,0.04321712115779519,0.000100000005,0.0,0.15904444456100464
17,0.0,0.0429681814275682,1.0000001e-05,0.0,0.1438322216272354
18,0.0,0.04281895235180855,1.0000001e-05,0.0,0.15878620743751526
19,0.0,0.042639909544959664,1.0000001e-05,0.0,0.15820728242397308
20,0.0,0.04267360549420118,1.0000001e-05,0.0,0.1413825899362564
21,0.0,0.042798292357474566,1.0000001e-05,0.0,0.13632716238498688
22,0.0,0.04265580349601805,1.0000001e-06,0.0,0.11948999762535095
23,0.0,0.04269466479308903,1.0000001e-06,0.0,0.10752169787883759
24,0.0,0.04252267419360578,1.0000001e-06,0.0,0.09603315591812134
25,0.0,0.042537180008366704,1.0000001e-06,0.0,0.08452180027961731
26,0.0,0.04255164181813598,1.0000001e-06,0.0,0.07799315452575684
27,0.0,0.04259944334626198,1e-06,0.0,0.07336457073688507
28,0.0,0.04268844472244382,1e-06,0.0,0.06850209832191467
29,0.0,0.04245545854791999,1e-06,0.0,0.06589809060096741
30,0.0,0.0424306767527014,1e-06,0.0,0.06233496218919754
31,0.0,0.04247131641022861,1e-06,0.0,0.06036502122879028
32,0.0,0.04239444830454886,1e-06,0.0,0.05822905898094177
33,0.0,0.04255714965984225,1e-06,0.0,0.056612711399793625
34,0.0,0.04263041471131146,1e-06,0.0,0.05616674944758415
35,0.0,0.04272803431376815,1e-06,0.0,0.05500181019306183
36,0.0,0.04276136797852814,1e-06,0.0,0.05476240813732147
37,0.0,0.04277313873171806,1e-06,0.0,0.05375500023365021
38,0.0,0.04249791172333062,1e-06,0.0,0.053661346435546875
39,0.0,0.042557671666145325,1e-06,0.0,0.05247075855731964
40,0.0,0.04255705652758479,1e-06,0.0,0.05156286805868149
41,0.0,0.04264570097438991,1e-06,0.0,0.051836416125297546
42,0.0,0.042600298300385475,1e-06,0.0,0.051090072840452194
43,0.0,0.042332395212724805,1e-06,0.0,0.05094200372695923
44,0.0,0.04239363968372345,1e-06,0.0,0.050668515264987946
45,0.0,0.04268219298683107,1e-06,0.0,0.050372976809740067
46,0.0,0.042327611707150936,1e-06,0.0,0.051659416407346725
47,0.0,0.042493229266256094,1e-06,0.0,0.05180167779326439
48,0.0,0.04223361634649336,1e-06,0.0,0.05100323632359505
49,0.0,0.042665583081543446,1e-06,0.0,0.051236558705568314
50,0.0,0.04247083025984466,1e-06,0.0,0.051813460886478424
51,0.0,0.042533205822110176,1e-06,0.0,0.051267772912979126
52,0.0,0.042715045157819986,1e-06,0.0,0.05112742260098457
53,0.0,0.04261901485733688,1e-06,0.0,0.05027782544493675
54,0.0,0.0425625538919121,1e-06,0.0,0.051656514406204224
55,0.0,0.04240032657980919,1e-06,0.0,0.05179787054657936
56,0.0,0.04238774650730193,1e-06,0.0,0.05038989707827568
57,0.0,0.04227313864976168,1e-06,0.0,0.05095941945910454
58,0.0,0.04233316145837307,1e-06,0.0,0.04998291656374931
59,0.0,0.042522258358076215,1e-06,0.0,0.05141859129071236
