epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.0,0.19215766713023186,0.001,0.0,0.20827412605285645
1,0.0,0.16073798947036266,0.001,0.0,0.6483362913131714
2,0.0,0.1483694240450859,0.001,0.0,0.6407089829444885
3,0.0,0.13880800502374768,0.001,0.0,0.6380301117897034
4,0.0,0.12318075401708484,0.001,0.0,0.12942779064178467
5,0.0,0.09388054348528385,0.001,0.0,0.07842729985713959
6,0.0,0.07450795453041792,0.001,0.0,0.080365389585495
7,0.0,0.06773864850401878,0.001,0.0,0.06834553182125092
8,0.0,0.06329427845776081,0.001,0.0,0.08771029114723206
9,0.0,0.059004844166338444,0.001,0.0,0.08163939416408539
10,0.0,0.05444915755651891,0.001,0.0,0.07557453960180283
11,0.0,0.05071408557705581,0.001,0.0,0.07769923657178879
12,0.0,0.04682090599089861,0.001,0.0,0.06471283733844757
13,0.0,0.04388873395510018,0.001,0.0,0.07769773155450821
14,0.0,0.04120553168468177,0.001,0.0,0.06047815829515457
15,0.0,0.03786814026534557,0.001,0.0,0.04492875561118126
16,0.0,0.03542210231535137,0.001,0.0,0.05159391462802887
17,0.0,0.0329251125222072,0.001,0.0,0.0447559617459774
18,0.0,0.03056607278995216,0.001,0.0,0.028309952467679977
19,0.0,0.027917425031773746,0.001,0.0,0.025697380304336548
20,0.0,0.026385098230093718,0.001,0.0,0.1978425681591034
21,0.0,0.024601276381872594,0.001,0.0,0.06573256105184555
22,0.0,0.022586716106161475,0.001,0.0,0.020297134295105934
23,0.0,0.021020287298597395,0.001,0.0,0.02636197954416275
24,0.0,0.01942777307704091,0.001,0.0,0.021726612001657486
25,0.0,0.018254618044011295,0.001,0.0,0.3681110739707947
26,0.0,0.017010732786729932,0.001,0.0,0.0187477245926857
27,0.0,0.015632501454092562,0.001,0.0,0.040579214692115784
28,0.0,0.01464167603990063,0.001,0.0,0.3028450310230255
29,0.0,0.013580210390500724,0.001,0.0,0.07253748178482056
30,0.0,0.01279287290526554,0.001,0.0,0.5573862195014954
31,0.0,0.011747787881176919,0.001,0.0,0.06556620448827744
32,0.0,0.011490648612380028,0.000100000005,0.0,0.056478749960660934
33,0.0,0.011185646639205515,0.000100000005,0.0,0.029878836125135422
34,0.0,0.010686853085644543,0.000100000005,0.0,0.015024727210402489
35,0.0,0.010889999393839389,0.000100000005,0.0,0.03268863260746002
36,0.0,0.010981466330122203,0.000100000005,0.0,0.1343677043914795
37,0.0,0.010852676525246352,0.000100000005,0.0,0.022037411108613014
38,0.0,0.010908087599091232,0.000100000005,0.0,0.17919883131980896
39,0.0,0.0103419657680206,0.000100000005,0.0,0.20771053433418274
40,0.0,0.010367992392275482,1.0000001e-05,0.0,0.17588669061660767
41,0.0,0.010379758838098496,1.0000001e-05,0.0,0.1470092236995697
42,0.0,0.010493619367480278,1.0000001e-05,0.0,0.12541846930980682
43,0.0,0.010476193448994309,1.0000001e-05,0.0,0.10557068139314651
44,0.0,0.010358057974372059,1.0000001e-05,0.0,0.0824422687292099
45,0.0,0.010543291456997395,1.0000001e-06,0.0,0.0667426660656929
