epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.00078125,0.127564188092947,0.001,0.0,0.10947220027446747
1,0.00078125,0.10073919501155615,0.001,0.0,0.10239730775356293
2,0.00078125,0.09012494096532464,0.001,0.0,0.0960104912519455
3,0.00078125,0.08254015911370516,0.001,0.0,0.08975119143724442
4,0.00078125,0.07593181449919939,0.001,0.0,0.08183038979768753
5,0.00078125,0.07042793231084943,0.001,0.0,0.07788379490375519
6,0.0,0.06600646348670125,0.001,0.0,0.07385842502117157
7,0.00078125,0.06526438472792506,0.001,0.0,0.07555628567934036
8,0.00078125,0.06174617912620306,0.001,0.0,0.07036865502595901
9,0.00078125,0.05606341012753546,0.001,0.0,0.06488468497991562
10,0.00078125,0.051894231932237744,0.001,0.0,0.287352979183197
11,0.00078125,0.047264635330066085,0.001,0.0,0.05988661199808121
12,0.00078125,0.043689734768122435,0.001,0.0,0.04621115326881409
13,0.00078125,0.040488159051164985,0.001,0.0,0.04197433590888977
14,0.00078125,0.03763302764855325,0.001,0.0,0.03881371021270752
15,0.00078125,0.03493490116670728,0.001,0.0,0.03811757639050484
16,0.00078125,0.03258190490305424,0.001,0.0,0.033791735768318176
17,0.00078125,0.030342033598572016,0.001,0.0,0.1230286955833435
18,0.00078125,0.028251960524357855,0.001,0.0,0.15932947397232056
19,0.00078125,0.026544729131273925,0.001,0.0,0.41894587874412537
20,0.00078125,0.02450041752308607,0.001,0.0,0.7272915840148926
21,0.00078125,0.022767890361137688,0.001,0.0,0.5629905462265015
22,0.00078125,0.02196150633972138,0.000100000005,0.0,0.37670305371284485
23,0.00078125,0.021563191548921168,0.000100000005,0.0,0.2580641210079193
24,0.00078125,0.021334894932806492,0.000100000005,0.0,0.17916686832904816
25,0.00078125,0.0211985029745847,0.000100000005,0.0,0.1321815699338913
26,0.00078125,0.021092519164085388,0.000100000005,0.0,0.10487070679664612
27,0.00078125,0.020969853387214243,1.0000001e-05,0.0,0.08137671649456024
28,0.00078125,0.02096381294541061,1.0000001e-05,0.0,0.0614204928278923
29,0.00078125,0.020884888479486108,1.0000001e-05,0.0,0.05020512267947197
30,0.00078125,0.020916846464388072,1.0000001e-05,0.0,0.0420943945646286
31,0.00078125,0.02087314857635647,1.0000001e-05,0.0,0.03680955618619919
32,0.00078125,0.020841002347879112,1.0000001e-06,0.0,0.03265722841024399
33,0.00078125,0.020865032449364662,1.0000001e-06,0.0,0.030837614089250565
34,0.00078125,0.020952922641299665,1.0000001e-06,0.0,0.028537409380078316
35,0.00078125,0.020841539022512734,1.0000001e-06,0.0,0.02738560549914837
36,0.00078125,0.02089075732510537,1.0000001e-06,0.0,0.02666536718606949
37,0.00078125,0.02080326818395406,1.0000001e-06,0.0,0.025391891598701477
38,0.00078125,0.020808287896215916,1.0000001e-06,0.0,0.02513115666806698
39,0.00078125,0.020813667098991573,1.0000001e-06,0.0,0.024823689833283424
40,0.00078125,0.020842784666456282,1.0000001e-06,0.0,0.026047127321362495
41,0.00078125,0.02094365400262177,1.0000001e-06,0.0,0.0243685282766819
42,0.00078125,0.02085171057842672,1.0000001e-06,0.0,0.024113168939948082
43,0.00078125,0.02088324271608144,1.0000001e-06,0.0,0.024011513218283653
44,0.00078125,0.020832853741012514,1.0000001e-06,0.0,0.025241388007998466
45,0.00078125,0.020851996378041804,1.0000001e-06,0.0,0.02373313531279564
46,0.00078125,0.02081806759815663,1.0000001e-06,0.0,0.024177908897399902
47,0.00078125,0.020811812486499548,1.0000001e-06,0.0,0.02411865070462227
48,0.00078125,0.020824404899030924,1.0000001e-06,0.0,0.02377079799771309
49,0.00078125,0.02089745760895312,1.0000001e-06,0.0,0.024013496935367584
50,0.00078125,0.020827583502978086,1.0000001e-06,0.0,0.023700598627328873
51,0.00078125,0.020829839049838483,1e-06,0.0,0.024013252928853035
52,0.00078125,0.020864265621639788,1e-06,0.0,0.0238905418664217
53,0.00078125,0.020815160125494003,1e-06,0.0,0.024969173595309258
54,0.00078125,0.020826975698582828,1e-06,0.0,0.024970252066850662
55,0.00078125,0.020866191829554737,1e-06,0.0,0.0239170640707016
56,0.00078125,0.02080559148453176,1e-06,0.0,0.023784346878528595
57,0.00078125,0.020836177631281316,1e-06,0.0,0.024008961394429207
58,0.00078125,0.020831527188420296,1e-06,0.0,0.023655729368329048
59,0.00078125,0.020771411014720798,1e-06,0.0,0.02481551468372345
60,0.00078125,0.02088808489497751,1e-06,0.0,0.02428573928773403
61,0.00078125,0.02078822860494256,1e-06,0.0,0.023590847849845886
62,0.00078125,0.02080248820129782,1e-06,0.0,0.023511797189712524
63,0.00078125,0.020789509755559266,1e-06,0.0,0.024168409407138824
64,0.00078125,0.020841190358623862,1e-06,0.0,0.023667730391025543
65,0.00078125,0.020814088871702552,1e-06,0.0,0.023913037031888962
66,0.00078125,0.02083438215777278,1e-06,0.0,0.023502277210354805
67,0.00078125,0.02079506136942655,1e-06,0.0,0.023560328409075737
68,0.00078125,0.020803395775146782,1e-06,0.0,0.023528046905994415
69,0.00078125,0.02081424160860479,1e-06,0.0,0.023558013141155243
70,0.00078125,0.020785392611287534,1e-06,0.0,0.02360687032341957
71,0.00078125,0.02084032353013754,1e-06,0.0,0.023886438459157944
72,0.00078125,0.02077710023149848,1e-06,0.0,0.02365167997777462
73,0.00078125,0.020787366898730397,1e-06,0.0,0.023612331598997116
74,0.00078125,0.020732800592668355,1e-06,0.0,0.023559439927339554
75,0.00078125,0.02080242522060871,1e-06,0.0,0.02387046627700329
76,0.00078125,0.020814241375774145,1e-06,0.0,0.023890061303973198
77,0.00078125,0.020768211456015706,1e-06,0.0,0.024241693317890167
78,0.00078125,0.02081194333732128,1e-06,0.0,0.0234812144190073
79,0.00078125,0.020752242184244096,1e-06,0.0,0.023806244134902954
80,0.00078125,0.020754014723934233,1e-06,0.0,0.023541713133454323
81,0.00078125,0.020812756614759564,1e-06,0.0,0.023490210995078087
82,0.00078125,0.020742284250445664,1e-06,0.0,0.023486848920583725
83,0.00078125,0.02071801503188908,1e-06,0.0,0.02424410544335842
84,0.00078125,0.020768792601302266,1e-06,0.0,0.024217065423727036
85,0.00078125,0.020755478064529598,1e-06,0.0,0.023511111736297607
86,0.00078125,0.020833429996855557,1e-06,0.0,0.024056412279605865
87,0.00078125,0.020716189057566226,1e-06,0.0,0.023543231189250946
88,0.00078125,0.020747238188050687,1e-06,0.0,0.024814855307340622
89,0.00078125,0.02074379427358508,1e-06,0.0,0.024198265746235847
90,0.00078125,0.020736898761242628,1e-06,0.0,0.02535492368042469
91,0.00078125,0.02073639293666929,1e-06,0.0,0.02354339510202408
92,0.00078125,0.020708133233711123,1e-06,0.0,0.02349848486483097
93,0.00078125,0.020714391488581896,1e-06,0.0,0.024148887023329735
94,0.00078125,0.020690117962658405,1e-06,0.0,0.02378920093178749
95,0.00078125,0.02071094559505582,1e-06,0.0,0.023478444665670395
96,0.00078125,0.020785259664990008,1e-06,0.0,0.0233752503991127
97,0.00078125,0.02073967643082142,1e-06,0.0,0.02349860966205597
98,0.00078125,0.020847516250796616,1e-06,0.0,0.023829950019717216
99,0.00078125,0.020680317655205727,1e-06,0.0,0.023524926975369453
