,sru,debutanizer
air_quality,1256.1247163814694,698.5852141282353
appliances,150.65720760844138,199.98619011121914
beijing_pm2.5,268.66360995014406,461.9646442294247
electricity,921.0616721361448,853.5099311940273
exchange_rate,3775.5140865109065,611.3129083531862
metro_interstate,2285.1572518742337,2152.2492948080276
solar_energy,1422.098825679755,1572.6922130726623
traffic,672.0873837716034,670.0526246442449
