,air_quality,appliances,beijing_pm2.5,electricity,exchange_rate,metro_interstate,solar_energy,traffic,base
debutanizer,-105.80741055313725,-2266.2915383798704,-1337.9339632657395,-1745.6948720670982,-2034.812612803907,-159.73033230703896,-1306.6567576175814,-1918.0486251194395,0.0
sru,72.12783171521036,33.67718446601942,28.519417475728147,33.0299352750809,56.330906148867314,-308.9199029126213,61.003236245954696,29.813915857605178,0.0
