,air_quality,appliances,beijing_pm2.5,electricity,exchange_rate,metro_interstate,solar_energy,traffic,base
debutanizer,0.019385,0.222881,0.135439,0.173846,0.201078,0.024464,0.132493,0.19008,0.009419
sru,0.001378,0.003279,0.003534,0.003311,0.002159,0.020217,0.001928,0.00347,0.004944
